origin,destination,origin_lat,origin_lon,dest_lat,dest_lon,distance_km,duration_min,origin_temp,origin_wind,dest_temp,dest_wind,avg_temp_along_route,avg_wind_along_route,route_conditions,delay_min
Vijayawada,Adilabad,16.5062,80.648,19.6667,78.5333,416.5,499,32.9,4.0,34.5,1.3,34.9,2.8,"['fog', 'clear', 'storm', 'clear', 'clouds', 'sunny', 'rain', 'clear', 'rain', 'clear']",11
Khammam,Kurnool,17.2473,80.1514,15.8281,78.0373,275.1,330,37.9,3.2,36.2,1.9,38.1,2.5,"['sunny', 'clear', 'fog', 'sunny', 'sunny', 'clouds', 'clouds', 'sunny', 'clear', 'sunny']",13
Kurnool,Tirupati,15.8281,78.0373,13.6288,79.4192,286.2,343,36.5,4.1,35.0,4.1,35.2,4.1,"['rain', 'clear', 'fog', 'clear', 'clouds', 'clouds', 'sunny', 'clear', 'sunny', 'clouds']",25
Karimnagar,Rajahmundry,18.4386,79.1288,17.0005,81.804,325.4,390,39.9,3.3,35.7,1.5,38.6,2.6,"['clouds', 'rain', 'rain', 'clouds', 'clear', 'clear', 'sunny', 'rain', 'clear', 'storm']",21
Rajahmundry,Khammam,17.0005,81.804,17.2473,80.1514,177.7,213,34.5,3.2,38.7,3.2,37.9,3.1,"['clouds', 'clear', 'clear', 'clouds', 'sunny', 'clouds', 'sunny', 'clouds', 'sunny', 'clear']",9
Karimnagar,Kurnool,18.4386,79.1288,15.8281,78.0373,312.6,375,31.2,3.4,30.9,4.5,31.0,3.5,"['rain', 'sunny', 'clear', 'clouds', 'clear', 'clear', 'sunny', 'storm', 'clear', 'clear']",18
Nellore,Warangal,14.4426,79.9865,17.9784,79.5941,395.4,474,31.2,2.5,36.4,2.2,32.9,2.5,"['clouds', 'clear', 'fog', 'storm', 'clouds', 'clear', 'clear', 'rain', 'clouds', 'fog']",17
Nellore,Guntur,14.4426,79.9865,16.3067,80.4365,212.8,255,34.6,3.0,33.3,2.7,33.3,2.6,"['sunny', 'clear', 'clear', 'clear', 'clouds', 'rain', 'rain', 'clear', 'rain', 'fog']",20
Anantapur,Hyderabad,14.6819,77.6006,17.385,78.4867,315.1,378,36.1,3.8,34.7,4.4,36.8,4.1,"['clouds', 'clear', 'clear', 'clear', 'sunny', 'clouds', 'sunny', 'clear', 'fog', 'storm']",17
Rajahmundry,Kadapa,17.0005,81.804,14.4674,78.8241,425.5,510,31.5,4.2,39.9,1.7,37.5,3.0,"['clouds', 'fog', 'fog', 'fog', 'storm', 'rain', 'clouds', 'clouds', 'sunny', 'clouds']",23
Kadapa,Guntur,14.4674,78.8241,16.3067,80.4365,267.8,321,37.9,2.4,39.4,2.1,37.5,1.9,"['sunny', 'clouds', 'clouds', 'sunny', 'rain', 'clear', 'sunny', 'sunny', 'rain', 'sunny']",14
Adilabad,Warangal,19.6667,78.5333,17.9784,79.5941,218.4,262,38.0,1.1,35.6,4.3,35.2,2.7,"['rain', 'fog', 'rain', 'rain', 'clear', 'rain', 'sunny', 'sunny', 'clouds', 'clouds']",15
Nellore,Kadapa,14.4426,79.9865,14.4674,78.8241,125.2,150,30.2,2.7,31.7,2.5,29.5,2.6,"['fog', 'rain', 'storm', 'sunny', 'sunny', 'clouds', 'fog', 'sunny', 'sunny', 'sunny']",8
Anantapur,Kurnool,14.6819,77.6006,15.8281,78.0373,135.8,162,34.7,4.1,39.2,1.3,36.2,2.3,"['clear', 'storm', 'sunny', 'sunny', 'clear', 'clouds', 'sunny', 'sunny', 'sunny', 'sunny']",8
Kadapa,Adilabad,14.4674,78.8241,19.6667,78.5333,579.0,694,35.6,3.5,39.4,2.1,37.1,2.5,"['clear', 'clear', 'clear', 'clouds', 'fog', 'storm', 'clear', 'clear', 'sunny', 'sunny']",13
Guntur,Warangal,16.3067,80.4365,17.9784,79.5941,206.3,247,33.2,3.8,35.9,4.6,34.4,3.7,"['clear', 'clear', 'storm', 'fog', 'sunny', 'sunny', 'sunny', 'clear', 'sunny', 'clear']",17
Hyderabad,Kadapa,17.385,78.4867,14.4674,78.8241,326.4,391,35.3,1.4,37.1,1.3,35.9,1.7,"['clear', 'storm', 'clear', 'sunny', 'clouds', 'sunny', 'sunny', 'rain', 'clear', 'sunny']",12
Visakhapatnam,Tirupati,17.6868,83.2185,13.6288,79.4192,607.4,728,39.6,1.1,31.2,4.5,36.2,3.1,"['clouds', 'clouds', 'storm', 'clear', 'storm', 'sunny', 'sunny', 'fog', 'clear', 'clear']",19
Rajahmundry,Tirupati,17.0005,81.804,13.6288,79.4192,453.8,544,39.7,2.3,33.3,3.6,36.5,3.2,"['fog', 'clear', 'clear', 'storm', 'rain', 'rain', 'sunny', 'clear', 'clear', 'fog']",10
Hyderabad,Kadapa,17.385,78.4867,14.4674,78.8241,326.4,391,38.1,3.5,30.2,4.7,35.3,4.5,"['clouds', 'clouds', 'sunny', 'fog', 'clouds', 'storm', 'fog', 'storm', 'clear', 'clouds']",20
Visakhapatnam,Warangal,17.6868,83.2185,17.9784,79.5941,385.0,462,30.9,4.3,35.3,2.7,33.9,3.6,"['fog', 'sunny', 'rain', 'sunny', 'clear', 'rain', 'sunny', 'clouds', 'clouds', 'rain']",18
Karimnagar,Kurnool,18.4386,79.1288,15.8281,78.0373,312.6,375,34.6,2.4,34.5,3.9,34.8,3.1,"['clouds', 'sunny', 'clouds', 'storm', 'rain', 'sunny', 'clouds', 'sunny', 'clear', 'clouds']",18
Kadapa,Nellore,14.4674,78.8241,14.4426,79.9865,125.2,150,36.2,3.5,38.6,4.8,37.8,3.7,"['clear', 'clear', 'sunny', 'fog', 'sunny', 'rain', 'clouds', 'fog', 'rain', 'rain']",5
Guntur,Kadapa,16.3067,80.4365,14.4674,78.8241,267.8,321,34.5,4.3,34.5,4.0,35.3,4.3,"['clouds', 'rain', 'storm', 'clear', 'clear', 'clouds', 'clear', 'clear', 'sunny', 'clear']",11
Visakhapatnam,Nizamabad,17.6868,83.2185,18.6725,78.0941,552.3,662,31.7,3.5,38.7,1.7,36.5,2.8,"['rain', 'clear', 'fog', 'clear', 'sunny', 'sunny', 'clear', 'clear', 'rain', 'fog']",16
Khammam,Tirupati,17.2473,80.1514,13.6288,79.4192,409.9,491,39.5,2.9,31.7,3.3,36.4,3.2,"['clouds', 'clear', 'clouds', 'storm', 'clouds', 'clear', 'fog', 'sunny', 'clear', 'clouds']",11
Tirupati,Anantapur,13.6288,79.4192,14.6819,77.6006,228.4,274,30.2,4.5,32.9,2.1,32.3,3.7,"['fog', 'sunny', 'clouds', 'rain', 'sunny', 'rain', 'fog', 'clouds', 'clouds', 'sunny']",17
Tirupati,Kadapa,13.6288,79.4192,14.4674,78.8241,113.2,135,30.0,1.4,36.2,3.2,31.5,2.4,"['rain', 'storm', 'clouds', 'clear', 'rain', 'fog', 'storm', 'fog', 'rain', 'rain']",4
Guntur,Nizamabad,16.3067,80.4365,18.6725,78.0941,361.8,434,31.2,3.9,38.7,4.2,34.7,4.4,"['rain', 'rain', 'clear', 'sunny', 'fog', 'sunny', 'clouds', 'clouds', 'clouds', 'clear']",19
Rajahmundry,Khammam,17.0005,81.804,17.2473,80.1514,177.7,213,35.6,1.9,36.0,2.7,37.3,2.6,"['clouds', 'sunny', 'sunny', 'sunny', 'rain', 'clear', 'clouds', 'clear', 'clear', 'clear']",16
Kadapa,Hyderabad,14.4674,78.8241,17.385,78.4867,326.4,391,34.3,4.3,36.8,4.8,37.2,5.0,"['clear', 'clear', 'clouds', 'fog', 'storm', 'sunny', 'clouds', 'clear', 'rain', 'sunny']",17
Nizamabad,Tirupati,18.6725,78.0941,13.6288,79.4192,578.4,694,32.4,1.8,31.5,1.4,32.6,1.9,"['fog', 'clear', 'clear', 'sunny', 'sunny', 'clouds', 'rain', 'sunny', 'rain', 'rain']",18
Tirupati,Khammam,13.6288,79.4192,17.2473,80.1514,409.9,491,31.3,4.3,38.1,1.0,33.5,2.3,"['sunny', 'fog', 'clouds', 'clear', 'clear', 'clear', 'clear', 'sunny', 'storm', 'rain']",18
Tirupati,Nellore,13.6288,79.4192,14.4426,79.9865,109.2,131,31.8,4.3,40.0,2.4,36.1,3.6,"['sunny', 'rain', 'storm', 'clear', 'sunny', 'clouds', 'clouds', 'clouds', 'clear', 'clear']",9
Tirupati,Rajahmundry,13.6288,79.4192,17.0005,81.804,453.8,544,33.8,4.6,31.2,3.9,31.8,4.0,"['clouds', 'rain', 'clouds', 'sunny', 'rain', 'clear', 'clear', 'sunny', 'clear', 'clouds']",15
Anantapur,Guntur,14.6819,77.6006,16.3067,80.4365,353.5,424,39.0,1.5,34.9,1.2,35.9,1.3,"['clouds', 'clouds', 'clear', 'clear', 'sunny', 'rain', 'fog', 'sunny', 'clear', 'clear']",19
Anantapur,Visakhapatnam,14.6819,77.6006,17.6868,83.2185,686.6,823,35.7,4.6,35.2,3.4,35.3,4.5,"['clear', 'clear', 'sunny', 'storm', 'rain', 'rain', 'sunny', 'fog', 'sunny', 'sunny']",20
Khammam,Tirupati,17.2473,80.1514,13.6288,79.4192,409.9,491,37.2,2.5,39.0,2.3,38.0,2.1,"['clouds', 'sunny', 'storm', 'rain', 'clear', 'clouds', 'sunny', 'clear', 'clear', 'sunny']",14
Adilabad,Khammam,19.6667,78.5333,17.2473,80.1514,318.6,382,31.2,2.6,32.3,2.2,31.4,2.1,"['storm', 'storm', 'clouds', 'clear', 'clouds', 'sunny', 'clouds', 'rain', 'clouds', 'sunny']",17
Guntur,Adilabad,16.3067,80.4365,19.6667,78.5333,424.4,509,36.4,1.9,32.7,4.5,34.7,3.2,"['clear', 'fog', 'clouds', 'sunny', 'rain', 'clouds', 'clear', 'rain', 'sunny', 'sunny']",14
Kadapa,Karimnagar,14.4674,78.8241,18.4386,79.1288,442.8,531,37.5,4.3,39.7,3.9,39.6,3.9,"['storm', 'rain', 'storm', 'clouds', 'clouds', 'fog', 'clouds', 'sunny', 'clear', 'sunny']",21
Tirupati,Nizamabad,13.6288,79.4192,18.6725,78.0941,578.4,694,38.0,3.8,31.2,3.6,36.4,4.1,"['clouds', 'clouds', 'fog', 'sunny', 'clouds', 'clouds', 'storm', 'sunny', 'rain', 'clear']",13
Vijayawada,Karimnagar,16.5062,80.648,18.4386,79.1288,268.6,322,34.8,3.7,37.9,4.0,37.8,3.4,"['fog', 'clear', 'fog', 'clear', 'storm', 'rain', 'clouds', 'sunny', 'fog', 'storm']",17
Warangal,Visakhapatnam,17.9784,79.5941,17.6868,83.2185,385.0,462,36.7,3.0,37.8,4.4,37.8,3.4,"['sunny', 'rain', 'storm', 'clear', 'clear', 'storm', 'clear', 'storm', 'sunny', 'rain']",13
Vijayawada,Khammam,16.5062,80.648,17.2473,80.1514,97.9,117,36.9,1.8,36.0,2.1,35.4,1.5,"['rain', 'clouds', 'clouds', 'sunny', 'storm', 'fog', 'clear', 'storm', 'clouds', 'clear']",7
Rajahmundry,Kurnool,17.0005,81.804,15.8281,78.0373,422.4,506,37.0,1.8,31.7,4.2,35.3,3.5,"['clear', 'fog', 'rain', 'clear', 'clear', 'clouds', 'sunny', 'clouds', 'sunny', 'fog']",16
Nizamabad,Karimnagar,18.6725,78.0941,18.4386,79.1288,112.1,134,35.4,4.4,30.2,3.3,32.8,3.4,"['clear', 'clouds', 'sunny', 'clouds', 'rain', 'storm', 'clear', 'sunny', 'rain', 'sunny']",6
Rajahmundry,Kurnool,17.0005,81.804,15.8281,78.0373,422.4,506,30.8,3.8,31.1,2.1,29.5,2.7,"['sunny', 'clouds', 'clear', 'sunny', 'sunny', 'rain', 'rain', 'rain', 'fog', 'sunny']",21
Guntur,Rajahmundry,16.3067,80.4365,17.0005,81.804,164.8,197,34.3,1.7,31.8,4.5,31.5,3.2,"['clouds', 'storm', 'rain', 'clouds', 'sunny', 'clouds', 'clear', 'sunny', 'clear', 'clouds']",18
Kadapa,Vijayawada,14.4674,78.8241,16.5062,80.648,299.3,359,32.2,2.5,30.7,4.6,30.0,3.4,"['fog', 'clear', 'clear', 'sunny', 'clear', 'rain', 'clouds', 'sunny', 'rain', 'clear']",19
Rajahmundry,Nizamabad,17.0005,81.804,18.6725,78.0941,434.5,521,38.7,2.1,31.8,2.2,35.5,2.5,"['rain', 'clear', 'sunny', 'rain', 'clouds', 'sunny', 'rain', 'sunny', 'sunny', 'clouds']",17
Tirupati,Nellore,13.6288,79.4192,14.4426,79.9865,109.2,131,37.1,4.9,39.4,4.9,39.7,5.2,"['clouds', 'rain', 'clear', 'rain', 'clear', 'rain', 'clouds', 'clear', 'sunny', 'rain']",9
Nizamabad,Rajahmundry,18.6725,78.0941,17.0005,81.804,434.5,521,38.4,4.1,38.1,4.1,39.8,4.1,"['sunny', 'clouds', 'clear', 'clear', 'clouds', 'fog', 'sunny', 'clear', 'clouds', 'clear']",13
Vijayawada,Nizamabad,16.5062,80.648,18.6725,78.0941,362.3,434,37.1,1.3,38.1,3.0,38.7,2.6,"['clouds', 'clouds', 'fog', 'clouds', 'rain', 'clear', 'fog', 'fog', 'clear', 'clear']",18
Nellore,Rajahmundry,14.4426,79.9865,17.0005,81.804,344.6,413,37.7,3.4,36.7,2.0,37.0,2.9,"['fog', 'clear', 'clear', 'rain', 'rain', 'clear', 'clouds', 'clear', 'sunny', 'sunny']",22
Kadapa,Nellore,14.4674,78.8241,14.4426,79.9865,125.2,150,33.0,2.9,33.6,4.2,33.3,3.9,"['storm', 'clear', 'sunny', 'fog', 'clear', 'storm', 'fog', 'rain', 'clouds', 'sunny']",10
Khammam,Nizamabad,17.2473,80.1514,18.6725,78.0941,269.2,323,38.4,4.8,36.4,2.3,37.1,3.6,"['sunny', 'clouds', 'clear', 'clear', 'clouds', 'clear', 'sunny', 'fog', 'storm', 'clear']",13
Adilabad,Rajahmundry,19.6667,78.5333,17.0005,81.804,455.0,546,39.2,3.3,38.0,1.2,37.3,1.9,"['clouds', 'rain', 'sunny', 'clouds', 'clear', 'clear', 'rain', 'storm', 'sunny', 'clear']",15
Warangal,Vijayawada,17.9784,79.5941,16.5062,80.648,198.3,237,39.6,4.0,38.1,2.1,39.4,2.8,"['clear', 'storm', 'sunny', 'clouds', 'fog', 'clouds', 'rain', 'sunny', 'sunny', 'clear']",19
Hyderabad,Nellore,17.385,78.4867,14.4426,79.9865,364.4,437,36.8,1.1,37.9,4.8,38.0,2.9,"['clouds', 'sunny', 'rain', 'clear', 'sunny', 'clouds', 'clear', 'rain', 'clouds', 'sunny']",23
Tirupati,Warangal,13.6288,79.4192,17.9784,79.5941,484.0,580,33.5,3.9,32.1,3.1,31.9,4.0,"['clear', 'rain', 'storm', 'rain', 'sunny', 'clear', 'sunny', 'fog', 'sunny', 'rain']",16
Khammam,Rajahmundry,17.2473,80.1514,17.0005,81.804,177.7,213,34.1,3.6,39.0,1.8,35.0,2.4,"['sunny', 'sunny', 'sunny', 'fog', 'clouds', 'sunny', 'clouds', 'fog', 'rain', 'sunny']",11
Rajahmundry,Nellore,17.0005,81.804,14.4426,79.9865,344.6,413,30.8,3.7,30.4,5.0,31.1,4.1,"['clear', 'clear', 'clear', 'rain', 'clouds', 'clouds', 'clear', 'clear', 'storm', 'clouds']",24
Kurnool,Guntur,15.8281,78.0373,16.3067,80.4365,261.8,314,33.6,3.0,31.7,1.7,32.3,2.7,"['sunny', 'storm', 'sunny', 'clouds', 'sunny', 'clouds', 'clouds', 'fog', 'clouds', 'rain']",20
